id,url,domain,tweet_url_count,tweet_id_examples,source_origin,notes
URL00024,https://abundances.substack.com/?r=dgwxu&utm_campaign=referrals-subscribe-page-share-screen&utm_medium=web,abundances.substack.com,1,2034696687914992015,Twitter/X archive,raw URL signal; not endorsement
URL00025,http://x.com/i/article/2034664252145901568,x.com,1,2034696415541133402,Twitter/X archive,raw URL signal; not endorsement
URL00026,http://x.com/i/article/2033894681965117441,x.com,1,2034515580535918772,Twitter/X archive,raw URL signal; not endorsement
URL00027,http://x.com/i/article/2030717360672272384,x.com,1,2034514259611119754,Twitter/X archive,raw URL signal; not endorsement
URL00028,http://x.com/i/article/2034304073302990848,x.com,1,2034354609867604411,Twitter/X archive,raw URL signal; not endorsement
URL00029,http://x.com/i/article/2034029278661382145,x.com,1,2034240105683042566,Twitter/X archive,raw URL signal; not endorsement
URL00030,http://x.com/i/article/2033909494313586688,x.com,1,2034102700367860009,Twitter/X archive,raw URL signal; not endorsement
URL00031,http://x.com/i/article/2033935058961068033,x.com,1,2034023419012866542,Twitter/X archive,raw URL signal; not endorsement
URL00032,http://x.com/i/article/2033851337645891584,x.com,1,2033877265344233561,Twitter/X archive,raw URL signal; not endorsement
URL00033,https://datasociety.net/points/building-civic-strength-for-an-ai-era/,datasociety.net,1,2033593026501611596,Twitter/X archive,raw URL signal; not endorsement
URL00034,http://x.com/i/article/2032180631409426434,x.com,1,2032195222495449389,Twitter/X archive,raw URL signal; not endorsement
URL00035,http://x.com/i/article/2031240381510094848,x.com,1,2032182489280659463,Twitter/X archive,raw URL signal; not endorsement
URL00036,https://link.springer.com/article/10.1007/s11077-024-09563-4,link.springer.com,1,2032182423992066111,Twitter/X archive,raw URL signal; not endorsement
URL00037,http://x.com/i/article/2032089015327883264,x.com,1,2032167591926468768,Twitter/X archive,raw URL signal; not endorsement
URL00038,http://x.com/i/article/2031260463280041986,x.com,1,2032119955248849094,Twitter/X archive,raw URL signal; not endorsement
URL00039,https://gov.gitcoin.co/t/gg23-predictive-funding-challenge-retrospective/25163,gov.gitcoin.co,1,2031739906561659188,Twitter/X archive,raw URL signal; not endorsement
URL00040,https://x.com/i/spaces/1yxBeMMjgzMJN,x.com,1,2031432115007467949,Twitter/X archive,raw URL signal; not endorsement
URL00041,http://x.com/i/article/2031024894620975104,x.com,1,2031384451083575468,Twitter/X archive,raw URL signal; not endorsement
URL00042,http://x.com/i/article/2031025833964658688,x.com,1,2031379609539764384,Twitter/X archive,raw URL signal; not endorsement
URL00043,https://donellameadows.org/archives/leverage-points-places-to-intervene-in-a-system/,donellameadows.org,1,2031379561339039869,Twitter/X archive,raw URL signal; not endorsement
URL00044,https://publicnouns.wtf/vote/80,publicnouns.wtf,1,2031296384234590313,Twitter/X archive,raw URL signal; not endorsement
URL00045,http://x.com/i/article/2029310888705179649,x.com,1,2031295710482555251,Twitter/X archive,raw URL signal; not endorsement
URL00046,http://x.com/i/article/2030961559061528576,x.com,1,2031078659247738884,Twitter/X archive,raw URL signal; not endorsement
URL00047,http://x.com/i/article/2029944322876133380,x.com,1,2030361531989291422,Twitter/X archive,raw URL signal; not endorsement
URL00048,http://x.com/i/article/2029947595485769728,x.com,1,2030336017627074595,Twitter/X archive,raw URL signal; not endorsement
URL00049,https://stage.gitcoin.co/research/post-capitalist-substrate-of-the-abundance-economy,stage.gitcoin.co,1,2030335904657666213,Twitter/X archive,raw URL signal; not endorsement
URL00050,http://x.com/i/article/2029619828831703042,x.com,1,2030027575469199428,Twitter/X archive,raw URL signal; not endorsement
URL00051,https://www.publicdeliberation.net/why-millions-can-deliberate-it-just-requires-an-economy-that-supports-mass-participation/,publicdeliberation.net,1,2030027318307987929,Twitter/X archive,raw URL signal; not endorsement
URL00052,http://x.com/i/article/2029188774396149760,x.com,1,2029933941478605156,Twitter/X archive,raw URL signal; not endorsement
URL00053,http://x.com/i/article/2029598096880291840,x.com,1,2029931953227432278,Twitter/X archive,raw URL signal; not endorsement
URL00054,http://x.com/i/article/2029683955176198144,x.com,1,2029931685882523801,Twitter/X archive,raw URL signal; not endorsement
URL00055,http://x.com/i/article/2029489286559510528,x.com,1,2029649411505115273,Twitter/X archive,raw URL signal; not endorsement
URL00056,https://centreforpublicimpact.org/resource-hub/collaborative-governance-for-a-stronger-democracy/,centreforpublicimpact.org,1,2029328106096390372,Twitter/X archive,raw URL signal; not endorsement
URL00057,http://x.com/i/article/2028963410080350208,x.com,1,2029328067101859906,Twitter/X archive,raw URL signal; not endorsement
URL00058,http://x.com/i/article/2029105405570289664,x.com,1,2029292798671806969,Twitter/X archive,raw URL signal; not endorsement
URL00059,https://app.t2.world/article/cmbuodxit01z110hd6vd9bl6t,app.t2.world,1,2028950456685166926,Twitter/X archive,raw URL signal; not endorsement
URL00060,http://x.com/i/article/2028878598048727040,x.com,1,2028889295335968779,Twitter/X archive,raw URL signal; not endorsement
URL00061,https://www.chaincatcher.com/en/article/2247966,chaincatcher.com,1,2028854717284020465,Twitter/X archive,raw URL signal; not endorsement
URL00062,https://earthweavers.substack.com/p/soilpunk-for-a-regenerative-future,earthweavers.substack.com,1,2028213117654606111,Twitter/X archive,raw URL signal; not endorsement
URL00063,http://x.com/i/article/2014399428317339648,x.com,1,2028212307612893514,Twitter/X archive,raw URL signal; not endorsement
URL00064,http://x.com/i/article/2027441986324860933,x.com,1,2027476507975671815,Twitter/X archive,raw URL signal; not endorsement
URL00065,http://x.com/i/article/2027074644574863360,x.com,1,2027476367173161026,Twitter/X archive,raw URL signal; not endorsement
URL00066,http://x.com/i/article/2027468925378650112,x.com,1,2027476245559066958,Twitter/X archive,raw URL signal; not endorsement
URL00067,https://plurality.net/ja/,plurality.net,1,2027444334216335818,Twitter/X archive,raw URL signal; not endorsement
URL00068,http://x.com/i/article/2027286970167152640,x.com,1,2027443375746511044,Twitter/X archive,raw URL signal; not endorsement
URL00069,https://www.mozillafoundation.org/en/what-we-do/grantmaking/incubator/democracy-ai-cohort/,mozillafoundation.org,1,2027108780312260927,Twitter/X archive,raw URL signal; not endorsement
URL00070,http://x.com/i/article/2023139761049772033,x.com,1,2027101924382707815,Twitter/X archive,raw URL signal; not endorsement
URL00071,http://x.com/i/article/2026764089079508993,x.com,1,2026865515973538182,Twitter/X archive,raw URL signal; not endorsement
URL00072,https://grokipedia.com/page/DeSci_Asia,grokipedia.com,1,2026798023699832907,Twitter/X archive,raw URL signal; not endorsement
URL00073,https://www.nature.com/articles/s41599-026-06594-5,nature.com,1,2026691805794721836,Twitter/X archive,raw URL signal; not endorsement
URL00074,https://hub.regencoordination.xyz/t/decleanup-network-base-app-launched-celo-in-testing-playbook-published-docs-live-heres-everything/394,hub.regencoordination.xyz,1,2026377394689290434,Twitter/X archive,raw URL signal; not endorsement
URL00075,http://x.com/i/article/2024112050687836160,x.com,1,2026377369687093294,Twitter/X archive,raw URL signal; not endorsement
URL00076,http://x.com/i/article/2026256162866221056,x.com,1,2026342661301367025,Twitter/X archive,raw URL signal; not endorsement
URL00077,http://x.com/i/article/2026322199666438144,x.com,1,2026328412940329065,Twitter/X archive,raw URL signal; not endorsement
URL00078,https://ash.harvard.edu/resources/the-ecosystem-of-deliberative-technologies-for-public-input/,ash.harvard.edu,1,2026100813106454802,Twitter/X archive,raw URL signal; not endorsement
URL00079,https://www.netxstate.com/,netxstate.com,1,2025994018442633261,Twitter/X archive,raw URL signal; not endorsement
URL00080,https://bookpower-website.netlify.app/,bookpower-website.netlify.app,1,2052117423277453472,Twitter/X archive,raw URL signal; not endorsement
URL00081,http://bloomnetwork.earth,bloomnetwork.earth,1,2024484120844239110,Twitter/X archive,raw URL signal; not endorsement
URL00082,https://www.myprivacy.blog/the-digital-iron-curtain-how-iran-built-the-worlds-most-invasive-surveillance-state/,myprivacy.blog,1,2024208870298571019,Twitter/X archive,raw URL signal; not endorsement
URL00083,http://x.com/i/article/2024192114951933954,x.com,1,2024208292726132838,Twitter/X archive,raw URL signal; not endorsement
URL00084,http://x.com/i/article/2024144031639306240,x.com,1,2024204757636686089,Twitter/X archive,raw URL signal; not endorsement
URL00085,http://x.com/i/article/2022345326816821249,x.com,1,2023904146366120007,Twitter/X archive,raw URL signal; not endorsement
URL00086,http://x.com/i/article/2021261046170718208,x.com,1,2023904130234745083,Twitter/X archive,raw URL signal; not endorsement
URL00087,http://x.com/i/article/2023822030626230272,x.com,1,2023869625331839036,Twitter/X archive,raw URL signal; not endorsement
URL00088,https://incented.co/docs/conviction-market,incented.co,1,2023474316147565024,Twitter/X archive,raw URL signal; not endorsement
URL00089,http://x.com/i/article/2016558940742701057,x.com,1,2023468909823775041,Twitter/X archive,raw URL signal; not endorsement
URL00090,http://x.com/i/article/2022403585586401283,x.com,1,2022416755755557352,Twitter/X archive,raw URL signal; not endorsement
URL00091,http://x.com/i/article/2021944400302018560,x.com,1,2022384146677666240,Twitter/X archive,raw URL signal; not endorsement
URL00092,https://stephenreid.substack.com/?r=dgwxu&utm_campaign=referrals-subscribe-page-share-screen&utm_medium=web,stephenreid.substack.com,1,2022177167493542080,Twitter/X archive,raw URL signal; not endorsement
URL00093,http://x.com/i/article/2021482969265750016,x.com,1,2022166142803226949,Twitter/X archive,raw URL signal; not endorsement
URL00094,http://x.com/i/article/2021999683716231170,x.com,1,2022166092375031950,Twitter/X archive,raw URL signal; not endorsement
URL00095,http://x.com/i/article/2021315943872204800,x.com,1,2021661399672668328,Twitter/X archive,raw URL signal; not endorsement
URL00096,http://x.com/i/article/2021371601980182528,x.com,1,2021661313622258116,Twitter/X archive,raw URL signal; not endorsement
URL00097,https://wiki.p2pfoundation.net/Cosmo-Local_Intelligence,wiki.p2pfoundation.net,1,2021660583439802567,Twitter/X archive,raw URL signal; not endorsement
URL00098,https://carboncopy.news/content/web3-tooling-series/the-recommendation,carboncopy.news,1,2020901201223508024,Twitter/X archive,raw URL signal; not endorsement
URL00099,https://x.com/GreenpillWrites/status/2018253617677959424,x.com,1,2020901201223508024,Twitter/X archive,raw URL signal; not endorsement
URL00100,http://x.com/i/article/2020808046247907329,x.com,1,2020882953983672387,Twitter/X archive,raw URL signal; not endorsement
URL00101,http://decleanup.net/litepaper,decleanup.net,1,2020590572164067727,Twitter/X archive,raw URL signal; not endorsement
URL00102,https://medium.com/primedao/exploring-dao2dao-collaboration-mechanisms-c37218a17a21,medium.com,1,2020131364473884954,Twitter/X archive,raw URL signal; not endorsement
URL00103,http://x.com/i/article/2019783139376173056,x.com,1,2019908881351114898,Twitter/X archive,raw URL signal; not endorsement
URL00104,http://x.com/i/article/2015826848869920778,x.com,1,2019907825561137348,Twitter/X archive,raw URL signal; not endorsement
URL00105,https://nathanschneider.info/2026/02/constitutional-agents-for-online-governance/,nathanschneider.info,1,2019569387599179935,Twitter/X archive,raw URL signal; not endorsement
URL00106,http://x.com/i/article/2018729653586812929,x.com,1,2019464160594043078,Twitter/X archive,raw URL signal; not endorsement
URL00107,http://x.com/i/article/2016905482670129153,x.com,1,2019192776529780862,Twitter/X archive,raw URL signal; not endorsement
URL00108,https://paragraph.com/durgadas.eth,paragraph.com,1,2019138020662997244,Twitter/X archive,raw URL signal; not endorsement
URL00109,http://x.com/i/article/2019035263582842880,x.com,1,2019127295727005925,Twitter/X archive,raw URL signal; not endorsement
URL00110,http://x.com/i/article/2019117513318277121,x.com,1,2019126990222291190,Twitter/X archive,raw URL signal; not endorsement
URL00111,https://www.resilience.org/stories/2026-02-03/when-infrastructure-falls-apart-living-systems-take-over/,resilience.org,1,2018784352294055963,Twitter/X archive,raw URL signal; not endorsement
URL00112,http://x.com/i/article/2017230079118458880,x.com,1,2018775482020356359,Twitter/X archive,raw URL signal; not endorsement
URL00113,http://x.com/i/article/2018690954031460352,x.com,1,2018764557842325723,Twitter/X archive,raw URL signal; not endorsement
URL00114,http://x.com/i/article/2018353742354186240,x.com,1,2018410734107934814,Twitter/X archive,raw URL signal; not endorsement
URL00115,http://x.com/i/article/2018164804976795648,x.com,1,2018391568055402929,Twitter/X archive,raw URL signal; not endorsement
URL00116,https://carboncopy.news/content/web3-tooling-series/the-experience,carboncopy.news,1,2018253617677959424,Twitter/X archive,raw URL signal; not endorsement
URL00117,https://x.com/GreenpillWrites/status/2015695327731302766,x.com,1,2018253617677959424,Twitter/X archive,raw URL signal; not endorsement
URL00118,http://x.com/i/article/2016836362377252864,x.com,1,2017599459975122946,Twitter/X archive,raw URL signal; not endorsement
URL00119,https://medium.com/curator-multisig-phf-official-channel/thedao-curator-multisig-a-decade-later-572796549d70,medium.com,1,2017043854780760340,Twitter/X archive,raw URL signal; not endorsement
URL00120,http://x.com/i/article/2016925866463506432,x.com,1,2017043699071369336,Twitter/X archive,raw URL signal; not endorsement
URL00121,http://x.com/i/article/2016654428737327106,x.com,1,2016892677753606538,Twitter/X archive,raw URL signal; not endorsement
URL00122,http://x.com/i/article/2016534346568761344,x.com,1,2016579217517896031,Twitter/X archive,raw URL signal; not endorsement
URL00123,https://paragraph.com/@holonic-horizons/social-architecture-series-part1-the-foundations-of-sustainable-organizations-four-batteries,paragraph.com,1,2015898122296123862,Twitter/X archive,raw URL signal; not endorsement
URL00124,http://x.com/i/article/2015754191487053826,x.com,1,2015838647048618342,Twitter/X archive,raw URL signal; not endorsement
URL00125,http://x.com/i/article/2014755878034124800,x.com,1,2015811930884018509,Twitter/X archive,raw URL signal; not endorsement
URL00126,https://www.commons-hub.at/post/thefirstcycle,commons-hub.at,1,2015799565392183488,Twitter/X archive,raw URL signal; not endorsement
URL00127,http://x.com/i/article/2014674094474604544,x.com,1,2015795314628640940,Twitter/X archive,raw URL signal; not endorsement
URL00128,https://carboncopy.news/content/web3-tooling-series/the-data,carboncopy.news,1,2015695327731302766,Twitter/X archive,raw URL signal; not endorsement
URL00129,https://x.com/GreenpillWrites/status/2014722503294230647,x.com,1,2015695327731302766,Twitter/X archive,raw URL signal; not endorsement
URL00130,https://bambualportugal.pt/wp-content/uploads/2024/11/DEGUSTACAO-Syntropic-Agriculture.pdf,bambualportugal.pt,1,2015546588756660478,Twitter/X archive,raw URL signal; not endorsement
URL00131,http://x.com/i/article/2014784402606161920,x.com,1,2015418222216950254,Twitter/X archive,raw URL signal; not endorsement
URL00132,https://coglib.no/documents/public-education.pdf,coglib.no,1,2015417881350074553,Twitter/X archive,raw URL signal; not endorsement
URL00133,https://open.substack.com/pub/abundances/p/building-a-21st-century-economy?utm_source=share&utm_medium=android&r=16vckg,open.substack.com,1,2014523430662451583,Twitter/X archive,raw URL signal; not endorsement
URL00134,http://x.com/i/article/2014360356009697280,x.com,1,2014467962254578004,Twitter/X archive,raw URL signal; not endorsement
URL00135,http://x.com/i/article/2049245957695639552,x.com,1,2049557996649197610,Twitter/X archive,raw URL signal; not endorsement
URL00136,https://paragraph.com/@holonic-horizons/frame-language-vocabulary-is-structure-is-code-is-law?referrer=0xfF6d6a7718A234A84f740480Dbb07f6c09cF1cD5,paragraph.com,1,2049547948548100580,Twitter/X archive,raw URL signal; not endorsement
URL00137,http://x.com/i/article/2049537214158405632,x.com,1,2049538753262141594,Twitter/X archive,raw URL signal; not endorsement
URL00138,https://medium.com/predict/from-code-to-coherence-0977dc80dd87,medium.com,1,2047871004874100985,Twitter/X archive,raw URL signal; not endorsement
URL00139,http://x.com/i/article/2047285496112467968,x.com,1,2047709566855446887,Twitter/X archive,raw URL signal; not endorsement
URL00140,https://paragraph.com/@holonic-horizons/the-castle-and-the-ladder,paragraph.com,1,2047708752590094798,Twitter/X archive,raw URL signal; not endorsement
URL00141,https://omniharmonic.substack.com/p/a-regenerative-accelerationist-manifesto,omniharmonic.substack.com,1,2014321482499752024,Twitter/X archive,raw URL signal; not endorsement
URL00142,https://open.substack.com/pub/commonplanet/p/nations-corporations-and-the-first,open.substack.com,1,2014321384604725367,Twitter/X archive,raw URL signal; not endorsement
URL00143,http://x.com/i/article/2013228676293242880,x.com,1,2014049958375161940,Twitter/X archive,raw URL signal; not endorsement
URL00144,http://x.com/i/article/2013661230460727296,x.com,1,2013714930243969512,Twitter/X archive,raw URL signal; not endorsement
URL00145,http://x.com/i/article/2013287343315103748,x.com,1,2013707557961875933,Twitter/X archive,raw URL signal; not endorsement
URL00146,http://x.com/i/article/2013614396660989953,x.com,1,2013643346216980921,Twitter/X archive,raw URL signal; not endorsement
URL00147,https://localscale.org/blog/post.jsp?uid=6mc6a15b-ae3a-48f2-af76-42f8ec0ca025,localscale.org,1,2013643282106999236,Twitter/X archive,raw URL signal; not endorsement
URL00148,http://x.com/i/article/2013342181013229568,x.com,1,2013382791321243740,Twitter/X archive,raw URL signal; not endorsement
URL00149,http://x.com/i/article/2013298035317723136,x.com,1,2013336075389808999,Twitter/X archive,raw URL signal; not endorsement
URL00150,https://gov.gitcoin.co/t/proposal-gitcoin-x-octant-yield-powered-matching-pilot/25065,gov.gitcoin.co,1,2013335983916265670,Twitter/X archive,raw URL signal; not endorsement
URL00151,http://x.com/i/article/2013008223658221568,x.com,1,2013305358790295674,Twitter/X archive,raw URL signal; not endorsement
URL00152,http://x.com/i/article/2013169287108931584,x.com,1,2013304749571944854,Twitter/X archive,raw URL signal; not endorsement
URL00153,http://x.com/i/article/2012571633639165952,x.com,1,2012610054386487673,Twitter/X archive,raw URL signal; not endorsement
URL00154,https://decentralizedthoughts.github.io/,decentralizedthoughts.github.io,1,2012251352924098872,Twitter/X archive,raw URL signal; not endorsement
URL00155,http://x.com/i/article/2011957941042098178,x.com,1,2012249898138161298,Twitter/X archive,raw URL signal; not endorsement
URL00156,http://x.com/i/article/2011525266607104000,x.com,1,2011937366391291944,Twitter/X archive,raw URL signal; not endorsement
URL00157,https://forum.celo.org/t/introducing-clc-dao-credit-routing-for-the-long-tail-of-real-world-commitments-on-celo/12910,forum.celo.org,1,2011930385588822494,Twitter/X archive,raw URL signal; not endorsement
URL00158,http://x.com/i/article/2011189774153818114,x.com,1,2011442306671612106,Twitter/X archive,raw URL signal; not endorsement
URL00159,http://x.com/i/article/2011074044246859776,x.com,1,2011170293369184281,Twitter/X archive,raw URL signal; not endorsement
URL00160,http://x.com/i/article/2011034149897871360,x.com,1,2011150274141057228,Twitter/X archive,raw URL signal; not endorsement
URL00161,http://x.com/i/article/2010664201295986688,x.com,1,2011134094818603149,Twitter/X archive,raw URL signal; not endorsement
URL00162,http://x.com/i/article/2010953482476666881,x.com,1,2011098625057902729,Twitter/X archive,raw URL signal; not endorsement
URL00163,http://bloomnetwork.earth/communityposts,bloomnetwork.earth,1,2010878233235845326,Twitter/X archive,raw URL signal; not endorsement
URL00164,http://x.com/i/article/2008156367496908800,x.com,1,2010796244499902785,Twitter/X archive,raw URL signal; not endorsement
URL00165,https://paragraph.com/@holonic-horizons/governance-beyond-game-theory,paragraph.com,1,2010795986780860450,Twitter/X archive,raw URL signal; not endorsement
URL00166,http://x.com/i/article/2010776262520811521,x.com,1,2010794255950987595,Twitter/X archive,raw URL signal; not endorsement
URL00167,https://github.com/robert-mcdermott/ai-knowledge-graph,github.com,1,2010756306530156562,Twitter/X archive,raw URL signal; not endorsement
URL00168,https://open.substack.com/pub/blockchaingov/p/the-blockchaingov-newsletter-28-december?r=2tiv4a&utm_campaign=post&utm_medium=web&showWelcomeOnShare=true,open.substack.com,1,2010714946506489986,Twitter/X archive,raw URL signal; not endorsement
URL00169,http://x.com/i/article/2009265061563453440,x.com,1,2010690266424910208,Twitter/X archive,raw URL signal; not endorsement
URL00170,http://x.com/i/article/2009634608992669696,x.com,1,2010355117187326400,Twitter/X archive,raw URL signal; not endorsement
URL00171,http://x.com/i/article/2009248193532628992,x.com,1,2009988561328845004,Twitter/X archive,raw URL signal; not endorsement
URL00172,https://docs.oso.xyz/blog/prosperous-software,docs.oso.xyz,1,2009778200272941325,Twitter/X archive,raw URL signal; not endorsement
URL00173,https://www.americamagazine.org/faithinfocus/2026/01/09/monastery-quiet-sustainability/,americamagazine.org,1,2009759400181772698,Twitter/X archive,raw URL signal; not endorsement
URL00174,https://stanford-jblp.pubpub.org/pub/genius-dilemma/release/1,stanford-jblp.pubpub.org,1,2009346730123513872,Twitter/X archive,raw URL signal; not endorsement
URL00175,https://gov.gitcoin.co/t/proposal-gitcoin-x-octant-yield-powered-matching-for-gg25/24977,gov.gitcoin.co,1,2009284749206970596,Twitter/X archive,raw URL signal; not endorsement
URL00176,https://paragraph.com/@holonic-horizons/the-exocortex-hypothesis-the-complete-series?referrer=0xfF6d6a7718A234A84f740480Dbb07f6c09cF1cD5,paragraph.com,1,2009066510808158304,Twitter/X archive,raw URL signal; not endorsement
URL00177,http://x.com/i/article/2006463754339602432,x.com,1,2008685394494468453,Twitter/X archive,raw URL signal; not endorsement
URL00178,http://x.com/i/article/2008596013095776257,x.com,1,2008651864230055949,Twitter/X archive,raw URL signal; not endorsement
URL00179,https://x.com/search?q=x402hackathon,x.com,1,2008589452319617242,Twitter/X archive,raw URL signal; not endorsement
URL00180,http://x.com/i/article/2006404184510443521,x.com,1,2008545959794577845,Twitter/X archive,raw URL signal; not endorsement
URL00181,https://3ook.com/store/0xbef7ec8649fb96c8d78ea63d8dfeb40bc2a6eec4?ll_source=bookstore,3ook.com,1,2008540525952221487,Twitter/X archive,raw URL signal; not endorsement
URL00182,http://x.com/i/article/2008016291098230784,x.com,1,2008384083374604337,Twitter/X archive,raw URL signal; not endorsement
URL00183,http://x.com/i/article/1977602744920772608,x.com,1,2008277044103127252,Twitter/X archive,raw URL signal; not endorsement
URL00184,http://x.com/i/article/2007830543967084544,x.com,1,2008276739986715070,Twitter/X archive,raw URL signal; not endorsement
URL00185,http://x.com/i/article/2007937032333795329,x.com,1,2008275668933447883,Twitter/X archive,raw URL signal; not endorsement
URL00186,http://x.com/i/article/2007540819763544064,x.com,1,2008275043470520625,Twitter/X archive,raw URL signal; not endorsement
URL00187,https://news.giveth.io/givnews48,news.giveth.io,1,2007532588253237615,Twitter/X archive,raw URL signal; not endorsement
URL00188,https://dispatches.basin.global/instrumental-serves-intrinsic?referrer=0xF0A3044ba0087e7650751286f9100E2162BCC58b,dispatches.basin.global,1,2007229960101212168,Twitter/X archive,raw URL signal; not endorsement
URL00189,http://x.com/i/article/1977834660831858688,x.com,1,2007229326861975727,Twitter/X archive,raw URL signal; not endorsement
URL00190,http://x.com/i/article/2005722663210344448,x.com,1,2005865779778965905,Twitter/X archive,raw URL signal; not endorsement
URL00191,https://paragraph.com/@holonic-horizons/the-exocortex-hypothesis-part-2-the-spillway-%E2%80%94-unfiltered-input-and-the-pressure-that-builds?referrer=0xfF6d6a7718A234A84f740480Dbb07f6c09cF1cD5,paragraph.com,1,2005864090598543543,Twitter/X archive,raw URL signal; not endorsement
URL00192,http://x.com/i/article/2005590516369608704,x.com,1,2005780596291743759,Twitter/X archive,raw URL signal; not endorsement
URL00193,http://x.com/i/article/2005758090990481408,x.com,1,2005780529728073863,Twitter/X archive,raw URL signal; not endorsement
URL00194,https://blockonomi.com/ethereum-reframed-as-global-public-good-in-new-valuation-framework-by-william-mougayar/,blockonomi.com,1,2005016512202149982,Twitter/X archive,raw URL signal; not endorsement
URL00195,http://x.com/i/article/2003429042003808256,x.com,1,2003558392858812564,Twitter/X archive,raw URL signal; not endorsement
URL00196,https://paragraph.com/@ecofrontiers/ecofrontiers-%E2%80%94-end-of-year-review-2025?referrer=0x864f2c20F55d7b6E80e65332C372C855a67be451,paragraph.com,1,2003558010355077538,Twitter/X archive,raw URL signal; not endorsement
URL00197,http://x.com/i/article/2003463223698493440,x.com,1,2003520398890271101,Twitter/X archive,raw URL signal; not endorsement
URL00198,https://paragraph.com/@holonic-horizons/prevolution-series-when-daos-snap-diagnosing-aave-through-tensegrity-and-prevolution,paragraph.com,1,2003519899709374838,Twitter/X archive,raw URL signal; not endorsement
URL00199,http://x.com/i/article/2003227242835628032,x.com,1,2003495482375700861,Twitter/X archive,raw URL signal; not endorsement
URL00200,http://x.com/i/article/2003344975170506753,x.com,1,2003484978001379598,Twitter/X archive,raw URL signal; not endorsement
URL00201,http://x.com/i/article/2002037480317452288,x.com,1,2003424453389352969,Twitter/X archive,raw URL signal; not endorsement
URL00202,https://paragraph.com/@holonic-horizons/the-exocortex-hypothesis-when-11-million-words-tell-a-different-story?referrer=0xfF6d6a7718A234A84f740480Dbb07f6c09cF1cD5,paragraph.com,1,2003299610832339250,Twitter/X archive,raw URL signal; not endorsement
URL00203,https://ecoversities.org/,ecoversities.org,1,2003264995115827258,Twitter/X archive,raw URL signal; not endorsement
