id,name,type,url,author_org_or_steward,category_or_domain,themes_tags,source_origin,source_detail,source_signal_count,expansion_status,review_status,public_use_status,suggested_toolkit_route,notes
E00124,Eugene Leventhal,Twitter/X account / social signal source,https://x.com/bbeats1,'@bbeats1,"Community Building, Events & Networks","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,5,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00125,Green Pill Cote d'ivoire,Twitter/X account / social signal source,https://x.com/greenpillciv,'@greenpillciv,"Community Building, Events & Networks","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00126,Greenpill Brasil,Twitter/X account / social signal source,https://x.com/greenpillbrasil,'@greenpillbrasil,"Community Building, Events & Networks","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,2,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00127,Greenpill Dev Guild,Twitter/X account / social signal source,https://x.com/greenpilldevs,'@greenpilldevs,"Community Building, Events & Networks","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,18,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00128,Greenpill Kenya,Twitter/X account / social signal source,https://x.com/GreenpillKenya,'@GreenpillKenya,"Community Building, Events & Networks","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00129,Greenpill Nigeria,Twitter/X account / social signal source,https://x.com/Greenpill9ja,'@Greenpill9ja,"Community Building, Events & Networks","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,2,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00130,Greenpill NYC,Twitter/X account / social signal source,https://x.com/greenpillnyc,'@greenpillnyc,"Community Building, Events & Networks","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00131,GreenPill Phangan,Twitter/X account / social signal source,https://x.com/GreenPillKPG,'@GreenPillKPG,"Community Building, Events & Networks","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00132,Greenpill Writers Guild,Twitter/X account / social signal source,https://x.com/GreenpillWrites,'@GreenpillWrites,"Community Building, Events & Networks","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,3,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00133,GreenPill- TO,Twitter/X account / social signal source,https://x.com/GreenPillTO,'@GreenPillTO,"Community Building, Events & Networks","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00134,greenpill.network,Twitter/X account / social signal source,https://x.com/greenpillnet,'@greenpillnet,"Community Building, Events & Networks","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,9,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00135,Launchnodes,Twitter/X account / social signal source,https://x.com/launchnodes,'@launchnodes,"Community Building, Events & Networks","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00136,previous handle of the Greenpill Dev Guild,Twitter/X account / social signal source,https://x.com/gp_dev_guild,'@gp_dev_guild,"Community Building, Events & Networks","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00137,TAS HUBS,Twitter/X account / social signal source,https://x.com/techandsunhub,'@techandsunhub,"Community Building, Events & Networks","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,2,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00138,URL lead - coglib.no,Resource / lead,https://coglib.no/documents/public-education.pdf,,"Community Building, Events & Networks","twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted URL lead from Twitter archive. Context: RT @exeuntdoteth: Cognitive sovereignty, watch this space.. 

@CognitiveLbty 

https://t.co/D9GqrGd7MN"
E00139,URL lead - open.substack.com,Resource / lead,https://open.substack.com/pub/gospelofchange/p/hard-power-a-field-guide-for-community,,"Community Building, Events & Networks","twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted URL lead from Twitter archive. Context: RT @gospelofchange: New drop on the ethical use of exclusion in communities 

https://t.co/2A8XXzEw8y"
E00140,URL lead - paragraph.com,Resource / lead,https://paragraph.com/@greenpilldevguild/green-goods-simplifying-impact-capture-and-exchange,,"Community Building, Events & Networks","twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted URL lead from Twitter archive. Context: RT @greenpilldevs: Part 5 🧑‍🌾 Green Goods - Simplifying Impact Capture and Exchange

🔗 https://t.co/XJlZ8XGJUO

Green Goods is built on the…"
E00141,URL lead - traditionaldreamfactory.com,Resource / lead,https://www.traditionaldreamfactory.com//blog/2025-07-07-digital-nomads-in-portugal-finding-comm,,"Community Building, Events & Networks","twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @tdfinyourdreams: Digital Nomads in Portugal: Finding Community Beyond Co-Working https://t.co/vBigfGqIb5
E00147,Raw URL lead - openteam.community,Resource / lead,https://openteam.community/,,"Community Building, Events & Networks","raw-url, preserve-not-lose",Raw URL preservation,Extracted from provided docs/texts,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Preserved from uploaded documents/text. Context:
E00323,EthCC - Ethereum Community Conference,Twitter/X account / social signal source,https://x.com/EthCC,'@EthCC,"Ethereum, Web3 Infrastructure & Security","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,2,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00324,ETHDenver 🏔🦬🦄,Twitter/X account / social signal source,https://x.com/EthereumDenver,'@EthereumDenver,"Ethereum, Web3 Infrastructure & Security","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00390,Regens Unite,Conference / community,https://www.regensunite.earth/,Regens Unite,"Events, Conferences & Learning Communities",ReFi,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00391,Devconnect,Event,https://devconnect.org/,Ethereum Foundation,"Events, Conferences & Learning Communities",Ethereum,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00392,ETH CC,Conference,https://ethcc.io/,ETH CC,"Events, Conferences & Learning Communities",Ethereum,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00393,ETH Denver,Conference,https://www.ethdenver.com/,ETH Denver,"Events, Conferences & Learning Communities",Ethereum,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00395,ETH Boulder,Community,https://www.ethboulder.xyz/,ETH Boulder,"Events, Conferences & Learning Communities",local Ethereum,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00396,Bread Coop,Community / event,Raw / no canonical link,Bread Coop,"Events, Conferences & Learning Communities",cooperative,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00397,ipe city,Pop-up city / event,Raw / no canonical link,Unknown,"Events, Conferences & Learning Communities",popup city,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00398,Luma Event,Event,https://luma.com/35utsgw8?tk=xh7h7s,Unknown,"Events, Conferences & Learning Communities",event,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E01559,Regens Unite 🌱✨,Twitter/X account / social signal source,https://x.com/regensunite,'@regensunite,"Regeneration, Ecology & Localism","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,2,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00043,Schelling Point,event,https://schellingpoint.gitcoin.co/,,,public goods; events,adjacent_expansion,manual adjacent expansion,,adjacent_expansion,raw; needs verification,list with caveat,Events,Gitcoin/public goods event archive
E00044,Devcon,event,https://devcon.org/,,,Ethereum; events,resource_seed; twitter_signal,manual adjacent expansion,,resource_seed; twitter_signal,raw; needs verification,list with caveat,Events; Source System,Ethereum conference/source archive
E00045,ETHDenver,event,https://www.ethdenver.com/,,,Ethereum; events,adjacent_expansion,manual adjacent expansion,,adjacent_expansion,raw; needs verification,list with caveat,Events,Ethereum / public goods ecosystem event
