id,name,type,url,source_origin,signal_count,example_urls,candidate_status,review_status,notes
SSC00012,frontiersin.org,domain,,Twitter/X linked domain,3,https://www.frontiersin.org/journals/blockchain/articles/10.3389/fbloc.2021.577680/full; https://www.frontiersin.org/research-topics/47075/blockchain-for-the-global-commons/magazine?utm_source=twitter&utm_medium=social&utm_campaign=rt_magazine_share&utm_content=rt47075; https://www.frontiersin.org/journals/blockchain/articles/10.3389/fbloc.2025.1564083/full,maybe,raw; needs review,Source-system candidate from repeated URL domain.
SSC00013,ethresear.ch,domain,,Twitter/X linked domain,2,https://ethresear.ch/t/building-index-tracking-assets-on-top-of-options-instead-of-debt/25036; http://EthResear.ch,maybe,raw; needs review,Source-system candidate from repeated URL domain.
SSC00014,link.springer.com,domain,,Twitter/X linked domain,2,https://link.springer.com/article/10.1007/s11077-024-09563-4; https://link.springer.com/article/10.1007/s00146-026-02852-x,maybe,raw; needs review,Source-system candidate from repeated URL domain.
SSC00015,app.t2.world,domain,,Twitter/X linked domain,2,https://app.t2.world/article/cmbuodxit01z110hd6vd9bl6t; https://app.t2.world/t/cosmolocalism/explore,maybe,raw; needs review,Source-system candidate from repeated URL domain.
SSC00016,bloomnetwork.earth,domain,,Twitter/X linked domain,2,http://bloomnetwork.earth; http://bloomnetwork.earth/communityposts,maybe,raw; needs review,Source-system candidate from repeated URL domain.
SSC00017,resilience.org,domain,,Twitter/X linked domain,2,https://www.resilience.org/stories/2026-02-03/when-infrastructure-falls-apart-living-systems-take-over/; https://www.resilience.org/stories/2025-07-01/agtech-for-agroecology/,maybe,raw; needs review,Source-system candidate from repeated URL domain.
SSC00018,forum.regen.network,domain,,Twitter/X linked domain,2,http://forum.regen.network; http://forum.regen.network,maybe,raw; needs review,Source-system candidate from repeated URL domain.
SSC00019,willruddick.substack.com,domain,,Twitter/X linked domain,2,https://willruddick.substack.com/p/seeing-the-economy-weve-always-been; https://willruddick.substack.com/p/the-heart-and-the-shell,maybe,raw; needs review,Source-system candidate from repeated URL domain.
SSC00020,sarafu.network,domain,,Twitter/X linked domain,2,http://sarafu.network; http://Sarafu.Network,maybe,raw; needs review,Source-system candidate from repeated URL domain.
SSC00021,chones.xyz,domain,,Twitter/X linked domain,2,https://chones.xyz/2025/02/19/my-meme-coin-robot-tweeted/; https://chones.xyz/2025/07/23/creation-of-chones-guild/,maybe,raw; needs review,Source-system candidate from repeated URL domain.
SSC00022,Matthew Monahan,person,,explicit_podcast_synthesis,,,maybe,raw; needs verification,Host/publisher in podcast source system
SSC00023,Raw URL lead - bloomnetwork.earth,Tools Protocols Platform,https://bloomnetwork.earth/,resource_registry_v0_2,7,,maybe,raw,"Preserved from uploaded documents/text. Context: on, ecosystem mapping - https://refidao.com/ - Bloom Network - regenerative local action and impact reporting network - https://bloomnetwork.earth/ - Regen Coordination Hub - coordination context and possible source system - https://regencoordination.xyz/ - Regens Un"
SSC00024,Raw URL lead - regencoordination.xyz,Organizations Network,https://regencoordination.xyz/,resource_registry_v0_2,2,,maybe,raw,Preserved from uploaded documents/text. Context: ting network - https://bloomnetwork.earth/ - Regen Coordination Hub - coordination context and possible source system - https://regencoordination.xyz/ - Regens Unite - gatherings and regenerative web3 community source - https://www.regensunite.earth/ - Regen Network - e
SSC00025,Raw URL lead - gov.gitcoin.co,Tools Protocols Platform,https://gov.gitcoin.co/,resource_registry_v0_2,4,,maybe,raw,"Preserved from uploaded documents/text. Context: d source system - https://gitcoin.co/ - Gitcoin Governance Forum - governance, grants, funding rounds, retrospectives - https://gov.gitcoin.co/ - Giveth - donations, QF, causes, project pages - https://giveth.io/ - Giveth Forum - project and governance archive - | orum/governance archive surfaces Regen Coordination Hub — https://hub.regencoordination.xyz/ Gitcoin Governance Forum — https://gov.git"
SSC00026,Raw URL lead - podcasts.apple.com,Podcasts Media Show,https://podcasts.apple.com/us/podcast/greenpill/id1609313639,resource_registry_v0_2,3,,maybe,raw,"Preserved from uploaded documents/text. Context: narrative archives - GreenPill Podcast - regenerative crypto, public goods, mechanism design, Ethereum coordination - https://podcasts.apple.com/us/podcast/greenpill/id1609313639 - Crypto Altruists Podcast - web3 impact, ReFi, humanitarian aid, DeSci, public goods - https://www.cryptoaltruists.com | ast and media source systems Three important podcast/media source systems were identified. 7.1 Gree"
SSC00027,Raw URL lead - theblockchainsocialist.com,Tools Protocols Platform,https://theblockchainsocialist.com/,resource_registry_v0_2,3,,maybe,raw,"Preserved from uploaded documents/text. Context: altruists.com/podcasts - The Blockchain Socialist - crypto-left, cooperative crypto, public AI, Fileverse, Bread Coop - https://theblockchainsocialist.com/ - Funding the Commons talks - public goods funding and mechanism design source. - The Daily Gwei - Ethereum education a | nge. Routing: Source System Candidate / Podcast Archive / Web3 Impact Case Library. 7.3 The Blockchain Socialist Links: ht"
SSC00028,Raw URL lead - commonslibrary.org,Concepts Frameworks Methodologie,https://commonslibrary.org/,resource_registry_v0_2,4,,maybe,raw,Preserved from uploaded documents/text. Context: economic source system - https://wiki.p2pfoundation.net/ - Commons Library - commons resources and knowledge archive - https://commonslibrary.org/ - Open Knowledge Foundation - open knowledge / data commons source system - https://okfn.org/ - Creative Commons - lice
SSC00029,Raw URL lead - docs.shutter.network,Tools Protocols Platform,https://docs.shutter.network/,resource_registry_v0_2,2,,maybe,raw,"Preserved from uploaded documents/text. Context: and security source systems - Shutter Network - threshold encryption, fairness, encrypted mempools, PEN-related lead - https://docs.shutter.network/ - Web3Privacy Now - privacy research and ecosystem mapping - https://web3privacy.info/ - Cypherpunk research archives -"
SSC00030,Raw URL lead - garden.networknations.network,Concepts Frameworks Methodologie,https://garden.networknations.network/,resource_registry_v0_2,5,,maybe,raw,"Preserved from uploaded documents/text. Context: arden candidate - https://localnodes.xyz/ - Network Nations Garden - knowledge garden / network state-adjacent source - https://garden.networknations.network/ - P2P Foundation Wiki - commons, peer production, civic and economic source system - https://wiki.p2pfoundation.net/ -"
SSC00031,Raw URL lead - okfn.org,Concepts Frameworks Methodologie,https://okfn.org/,resource_registry_v0_2,4,,maybe,raw,Preserved from uploaded documents/text. Context: ledge archive - https://commonslibrary.org/ - Open Knowledge Foundation - open knowledge / data commons source system - https://okfn.org/ - Creative Commons - licensing and knowledge commons legal infrastructure - https://creativecommons.org/ - Open Data Co
SSC00032,Ma Earth Learning Lab,Podcasts Media Show,https://maearth.com/,resource_registry_v0_2,,,maybe,raw,~15 Learning Lab episodes; should be tracked as part of Ma Earth media source system.
SSC00033,ReFi Podcast,Podcasts Media Show,https://refidao.com/,resource_registry_v0_2,,,maybe,raw,Adjacent source system referenced by the podcast synthesis; needs deeper extraction.
SSC00034,Funding the Commons Recordings,Podcasts Media Show,https://fundingthecommons.io/,resource_registry_v0_2,,,maybe,raw,Relevant media source system for public goods funding and open-source tooling learning.
SSC00035,Ma Earth,organization/media,https://maearth.com/,podcast_synthesis,,,yes,raw; needs verification,Publisher of The Regeneration Will Be Funded / bioregional finance context
SSC00036,The Regeneration Will Be Funded,podcast/media feed,https://podcasts.apple.com/us/podcast/the-regeneration-will-be-funded/id1706728107,web_verified; podcast_synthesis,,,yes,raw; needs verification,Ma Earth podcast about regenerative finance / living planet; Apple entry lists Ma Earth and episodes including nature finance/carbon finance topics
SSC00037,Crypto Altruists,organization/media,https://www.cryptoaltruism.org/,web_verified; podcast_synthesis,,,yes,raw; needs verification,Web3 impact platform; site describes podcast/blog/resources for crypto and web3 social impact
SSC00038,Crypto Altruists Podcast,podcast/media feed,https://www.cryptoaltruism.org/podcasts,web_verified; podcast_synthesis,,,yes,raw; needs verification,Podcast highlighting real-world social/environmental impact powered by crypto/web3
SSC00039,Funding the Commons,organization/event/media,https://fundingthecommons.io/,web_verified; adjacent_expansion,,,yes,raw; needs verification,"Public goods funding community and conference/media archive; StreamETH page says it bridges Web2, Web3, research, philanthropy, and industry"
SSC00040,Funding the Commons YouTube,media feed,https://www.youtube.com/@Funding-the-Commons,web_verified; adjacent_expansion,,,yes,raw; needs verification,Talk archive / public goods funding media source
SSC00041,The Blockchain Socialist,podcast/media feed,https://theblockchainsocialist.com/,resource_seed; podcast_synthesis,,,yes,raw; needs verification,Cooperative crypto / crypto-left / public AI media source
SSC00042,Bloom Network,organization/network,https://bloomnetwork.earth/,resource_seed,,,yes,raw; needs verification,Regenerative local action and impact network
SSC00043,Regen Network,protocol/network,https://www.regen.network/,resource_seed; podcast_synthesis; twitter_signal,,,yes,raw; needs verification,Ecological data and ecological assets network
SSC00044,OpenCivics,organization/network,https://opencivics.co/,resource_seed; project_context,,,yes,raw; needs verification,Civic infrastructure and knowledge commoning context
SSC00045,Knowledge Commoning Swarm,source system/community,https://swarm01.opencivics.co/,project_context,,,yes,raw; needs verification,Knowledge commoning collaboration context
SSC00046,BKC Roadmap,knowledge garden,https://bioregionalknowledgecommons.github.io/roadmap/,resource_seed,,,yes,raw; needs verification,Bioregional Knowledge Commons roadmap
SSC00047,SuperBenefit Knowledge Garden,knowledge garden,https://knowledge.superbenefit.org/,resource_seed,,,yes,raw; needs verification,Adjacent public goods/regenerative web3 knowledge garden
SSC00048,LocalNodes,tool/platform,https://localnodes.xyz/,resource_seed,,,yes,raw; needs verification,AI-powered community knowledge garden candidate
SSC00049,Holonic Horizons,publication/source system,https://paragraph.com/@holonic-horizons,resource_seed,,,yes,raw; needs verification,Durgadas writing / frame language / social architecture
SSC00050,Gravity DAO Standards,repository,https://github.com/durgadasji/standards,resource_seed,,,yes,raw; needs verification,Governance/standards source
SSC00051,Gitcoin,organization/platform,https://gitcoin.co/,resource_seed; twitter_signal,,,yes,raw; needs verification,Public goods funding ecosystem
SSC00052,Gitcoin Governance Forum,governance forum,https://gov.gitcoin.co/,resource_seed,,,yes,raw; needs verification,Funding rounds / governance / retrospectives
SSC00053,Allo Capital Resources,resource hub,https://www.allo.capital/resources,resource_seed,,,yes,raw; needs verification,Resources for Allo and funding design
SSC00054,Giveth,platform/organization,https://giveth.io/,resource_seed; twitter_signal,,,yes,raw; needs verification,Donation platform / QF / causes
SSC00055,Octant,platform/organization,https://octant.build/,resource_seed; twitter_signal,,,yes,raw; needs verification,Public goods funding via ETH staking/yield distribution
SSC00056,Octant v2 Docs,documentation,https://docs.v2.octant.build/,resource_seed,,,yes,raw; needs verification,Developer and funding model docs
SSC00057,Protocol Guild,funding mechanism/organization,https://protocol-guild.readthedocs.io/,resource_seed,,,yes,raw; needs verification,Ethereum core protocol funding commons
SSC00058,Commons Stack,organization/framework,https://www.commonsstack.org/,resource_seed,,,yes,raw; needs verification,Commons mechanism design and TEC context
SSC00059,Token Engineering Commons,community/network,https://tokenengineeringcommons.org/,resource_seed; twitter_signal,,,yes,raw; needs verification,Token engineering and mechanism design community
SSC00060,Govbase,pattern library,https://govbase.io/,resource_seed,,,yes,raw; needs verification,Governance pattern library
SSC00061,Murmurations,protocol/schema,https://murmurations.network/,resource_seed,,,yes,raw; needs verification,Distributed data interoperability / profiles
SSC00062,Geo / Geobrowser,platform/protocol,https://www.geobrowser.io/,resource_seed,,,yes,raw; needs verification,Knowledge graph / web3 knowledge organization lead
SSC00063,Grassroots Economics,organization/platform,https://www.grassrootseconomics.org/,resource_seed; podcast_synthesis,,,yes,raw; needs verification,Community currencies and local exchange infrastructure
SSC00064,Bread Cooperative,cooperative/token community,https://breadchain.xyz/,resource_seed; twitter_signal,,,yes,raw; needs verification,Solidarity crypto and distribution cycles
SSC00065,Endaoment,platform,https://endaoment.org/,podcast_synthesis,,,yes,raw; needs verification,Crypto philanthropy / donor-advised funds
SSC00066,Every.org,platform,https://www.every.org/,adjacent_expansion,,,yes,raw; needs verification,Nonprofit fundraising and crypto donation infrastructure
SSC00067,Mercy Corps Ventures,organization/program,https://www.mercycorpsventures.org/,adjacent_expansion,,,yes,raw; needs verification,Humanitarian / frontier tech funding context
SSC00068,UNICEF CryptoFund,program,https://www.unicefinnovationfund.org/cryptofund,adjacent_expansion,,,yes,raw; needs verification,Crypto humanitarian/public good program
SSC00069,Stellar Development Foundation,organization/protocol,https://stellar.org/foundation,podcast_adjacent_expansion,,,yes,raw; needs verification,Stablecoin/payment rails for social impact context
SSC00070,Celo,protocol/ecosystem,https://celo.org/,resource_seed,,,yes,raw; needs verification,Mobile-first and ReFi-adjacent blockchain ecosystem
SSC00071,GainForest,organization/project,https://gainforest.earth/,resource_seed; podcast_synthesis,,,yes,raw; needs verification,"Conservation tech, AI, ecological funding"
SSC00072,HOT OSM,organization,https://www.hotosm.org/,resource_seed,,,yes,raw; needs verification,Humanitarian OpenStreetMap Team
SSC00073,Open Earth Foundation,organization,https://openearth.org/,resource_seed,,,yes,raw; needs verification,Climate data infrastructure
SSC00074,Local Contexts,framework/tool,https://localcontexts.org/,adjacent_expansion,,,yes,raw; needs verification,Traditional Knowledge / Biocultural Labels; needed for Indigenous/local knowledge handling
SSC00075,Amazon Sacred Headwaters,initiative/region,https://amazonsacredheadwaters.org/,podcast_synthesis,,,yes,raw; needs verification,Indigenous-led Amazon bioregional protection context
SSC00076,Biome Trust,organization/project,https://biometrust.earth/,web_verified; adjacent_expansion,,,yes,raw; needs verification,Regeneration Will Be Funded link / bioregional finance context
SSC00077,Bioneers,event/media/org,https://bioneers.org/,podcast_synthesis,,,yes,raw; needs verification,Regenerative ecological conference/source system
SSC00078,Edge City,event/community,https://www.edgecity.live/,resource_seed; twitter_signal,,,yes,raw; needs verification,Popup city/civic experimentation source system
SSC00079,Zuzalu,event/community,https://zuzalu.city/,resource_seed,,,yes,raw; needs verification,Popup city / governance/social experimentation
SSC00080,Devcon,event,https://devcon.org/,resource_seed; twitter_signal,,,yes,raw; needs verification,Ethereum conference/source archive
SSC00081,Regens Unite,event/community,https://www.regensunite.earth/,resource_seed,,,yes,raw; needs verification,Regenerative web3 gatherings
SSC00082,Gardens,platform/protocol,https://gardens.fund/,resource_seed,,,yes,raw; needs verification,Shared resource coordination / conviction voting / commons governance
SSC00083,Living artifact,concept/workflow,,podcast_synthesis,,,yes,raw; needs verification,"A source-aware, review-aware artifact produced from evolving media/conversation/source-system material"
SSC00084,Media white-space map,workflow,,podcast_synthesis,,,yes,raw; needs verification,Map under-covered topics emerging from podcast/media/source-system review
SSC00085,Greenpill S10 Ep.6 - Vitalik Buterin: Public Goods Funding in 2026,episode/talk/recording,https://www.youtube.com/@Green_Pill_Podcast,web_verified; adjacent_expansion,,,yes,raw; needs verification,Greenpill YouTube/Apple listing; web verified
SSC00086,Greenpill S10 Ep.10 - AI Agents on Ethereum with Austin Griffith & Zak Cole,episode/talk/recording,https://playpodcasts.com/podcasts/greenpill,web_verified; adjacent_expansion,,,yes,raw; needs verification,PlayPodcasts listing / Greenpill episode lead
SSC00087,The Regeneration Will Be Funded - Nature on the Balance Sheet,episode/talk/recording,https://podcasts.apple.com/us/podcast/the-regeneration-will-be-funded/id1706728107,web_verified; adjacent_expansion,,,yes,raw; needs verification,Apple listing lead
SSC00088,The Regeneration Will Be Funded - Forward Carbon Financing,episode/talk/recording,https://podcasts.apple.com/us/podcast/the-regeneration-will-be-funded/id1706728107,web_verified; adjacent_expansion,,,yes,raw; needs verification,Apple listing lead
SSC00089,The Regeneration Will Be Funded - The Problem with Net Zero,episode/talk/recording,https://podcasts.apple.com/us/podcast/the-regeneration-will-be-funded/id1706728107,web_verified; adjacent_expansion,,,yes,raw; needs verification,Apple listing lead
SSC00090,Crypto Altruists Episode 250 - The Quiet Revolution,episode/talk/recording,https://podcasts.apple.com/pg/podcast/crypto-altruists-real-world-stories-of-social/id1628620328,web_verified; adjacent_expansion,,,yes,raw; needs verification,Apple listing lead
SSC00091,Crypto Altruists - Bioregional Reforestation,episode/talk/recording,,podcast_synthesis,,,yes,raw; needs verification,Podcast synthesis sample lead
SSC00092,Crypto Altruists - Commitment Pooling,episode/talk/recording,,podcast_synthesis,,,yes,raw; needs verification,Podcast synthesis sample lead
SSC00093,Crypto Altruists - Savings Circles,episode/talk/recording,,podcast_synthesis,,,yes,raw; needs verification,Podcast synthesis sample lead
SSC00094,Greenpill - Network Nations / Regen Network of Networks,episode/talk/recording,,podcast_synthesis,,,yes,raw; needs verification,Podcast synthesis sample lead
SSC00095,Greenpill - Technologies Grown from Dirt,episode/talk/recording,,podcast_synthesis,,,yes,raw; needs verification,Podcast synthesis sample lead
SSC00096,Greenpill - Metrics-Based Voting on RPGF Round 4,episode/talk/recording,,podcast_synthesis,,,yes,raw; needs verification,Podcast synthesis sample lead
SSC00097,Indigenous and Global South primary voices,white-space/research prompt,,podcast_synthesis,,,yes,raw; needs review,More first-person source systems and consent-aware extraction
SSC00098,Berachain and next-wave L1/L2 regen experiments,white-space/research prompt,,podcast_synthesis,,,yes,raw; needs review,Review emerging regen experiments outside existing Greenpill/Gitcoin cluster
SSC00099,Media archive to living artifact workflow,white-space/research prompt,,project_context,,,yes,raw; needs review,How to turn podcasts/calls into review-aware structured knowledge
SSC00100,Source-system reciprocity protocols,white-space/research prompt,,project_context,,,yes,raw; needs review,How to avoid extractive aggregation and return value to source systems
SSC00101,Podcast archives can become living artifacts,claim/question/evidence lead,,podcast_synthesis,,,yes,raw; needs review,"High-signal conversations can become source-linked, review-aware, searchable field memory."
SSC00102,Source systems are not extractable link pools,claim/question/evidence lead,,project_context,,,yes,raw; needs review,"Living knowledge environments carry worldview, stewardship, attribution, and return-path needs."
SSC00103,x.com,domain/source-system candidate,,Twitter/X archive,197,,yes,raw; needs review,domain_count=197
SSC00104,paragraph.com,domain/source-system candidate,,Twitter/X archive,33,,yes,raw; needs review,domain_count=33
SSC00105,open.substack.com,domain/source-system candidate,,Twitter/X archive,6,,yes,raw; needs review,domain_count=6
SSC00106,gov.gitcoin.co,domain/source-system candidate,,Twitter/X archive,5,,yes,raw; needs review,domain_count=5
SSC00107,github.com,domain/source-system candidate,,Twitter/X archive,4,,yes,raw; needs review,domain_count=4
SSC00108,wiki.p2pfoundation.net,domain/source-system candidate,,Twitter/X archive,4,,yes,raw; needs review,domain_count=4
SSC00109,carboncopy.news,domain/source-system candidate,,Twitter/X archive,4,,yes,raw; needs review,domain_count=4
SSC00110,explorer.gitcoin.co,domain/source-system candidate,,Twitter/X archive,4,,yes,raw; needs review,domain_count=4
SSC00111,medium.com,domain/source-system candidate,,Twitter/X archive,3,,yes,raw; needs review,domain_count=3
SSC00112,forms.gle,domain/source-system candidate,,Twitter/X archive,3,,yes,raw; needs review,domain_count=3
SSC00113,vitalik.eth.limo,domain/source-system candidate,,Twitter/X archive,3,,yes,raw; needs review,domain_count=3
SSC00114,frontiersin.org,domain/source-system candidate,,Twitter/X archive,3,,yes,raw; needs review,domain_count=3
SSC00115,ethresear.ch,domain/source-system candidate,,Twitter/X archive,2,,yes,raw; needs review,domain_count=2
SSC00116,link.springer.com,domain/source-system candidate,,Twitter/X archive,2,,yes,raw; needs review,domain_count=2
SSC00117,app.t2.world,domain/source-system candidate,,Twitter/X archive,2,,yes,raw; needs review,domain_count=2
SSC00118,bloomnetwork.earth,domain/source-system candidate,,Twitter/X archive,2,,yes,raw; needs review,domain_count=2
SSC00119,resilience.org,domain/source-system candidate,,Twitter/X archive,2,,yes,raw; needs review,domain_count=2
SSC00120,forum.regen.network,domain/source-system candidate,,Twitter/X archive,2,,yes,raw; needs review,domain_count=2
SSC00121,willruddick.substack.com,domain/source-system candidate,,Twitter/X archive,2,,yes,raw; needs review,domain_count=2
SSC00122,sarafu.network,domain/source-system candidate,,Twitter/X archive,2,,yes,raw; needs review,domain_count=2
SSC00123,chones.xyz,domain/source-system candidate,,Twitter/X archive,2,,yes,raw; needs review,domain_count=2
