person_id,name_or_handle,known_name,x_handle,source_origin,source_detail,known_affiliation,mentioned_in_podcast_synthesis,mentioned_in_twitter,twitter_mention_count,twitter_retweet_count,associated_orgs_projects,associated_topics,associated_tools_protocols,possible_role,bridge_signal,reviewer_candidate,guest_candidate,person_node_caution,public_use_status,review_status,notes
P00016,'@wor,Will Ruddick,'@wor,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,19,18,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00017,'@Giveth,Giveth,'@Giveth,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,19,16,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00018,'@greenpilldevs,Greenpill Dev Guild,'@greenpilldevs,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,18,12,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00019,'@EtherealnewsHQ,Ethereal news,'@EtherealnewsHQ,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,17,17,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00020,'@LBorreani,Louise Borreani,'@LBorreani,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,16,14,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00021,'@breadcoop,Bread Cooperative,'@breadcoop,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,16,12,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00022,'@owockibot,bot.owocki.eth 🤖,'@owockibot,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,15,15,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00023,'@EFDevcon,"Devcon 8 | Mumbai, India 🇮🇳",'@EFDevcon,Twitter/X archive,mentioned/retweeted account,,TRUE,,13,0,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00024,'@tecmns,Token Engineering Commons,'@tecmns,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,13,13,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00025,'@samflan,Sam Flanagan,'@samflan,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,12,12,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00026,'@exeuntdoteth,exeunt,'@exeuntdoteth,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,12,10,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00027,'@devanshmehta,Devansh Mehta,'@devanshmehta,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,12,10,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00028,'@DisruptionJoe,Disruption Joe,'@DisruptionJoe,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,11,11,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00029,'@ethereumboulder,EthBoulder,'@ethereumboulder,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,11,5,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00030,'@FundingCommons,Funding the Commons,'@FundingCommons,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,10,6,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00031,'@regenavocado,regenavocado,'@regenavocado,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,10,10,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00032,'@papa_raw,pat ✨,'@papa_raw,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,10,8,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00033,'@RohitMalekar,rohitmalekar.eth,'@RohitMalekar,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,10,9,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00034,'@ethereumfndn,Ethereum Foundation,'@ethereumfndn,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,10,2,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00035,'@web3privacy,Web3Privacy Now,'@web3privacy,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,9,9,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00036,'@MCSocialVenture,Mercy Corps Ventures,'@MCSocialVenture,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,9,6,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00037,'@networknations_,Network Nations Alliance,'@networknations_,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,9,9,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00038,'@UnlockProtocol,Ʉnlock Protocol,'@UnlockProtocol,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,9,8,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00039,'@karmahq_,Karma,'@karmahq_,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,9,7,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00040,'@greenpillnet,greenpill.network,'@greenpillnet,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,9,4,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00041,'@TheDevanshMehta,,'@TheDevanshMehta,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,9,9,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00042,'@arkreen_network,arkreen,'@arkreen_network,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,8,4,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00043,'@ipecity,Ipê City,'@ipecity,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,8,7,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00044,'@TerezaBizkova,Tereza Bízková,'@TerezaBizkova,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,8,6,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00045,'@ntnsndr,Nathan Schneider,'@ntnsndr,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,8,4,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00046,'@TrinityMorphy,Trinity Morphy,'@TrinityMorphy,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,8,3,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00047,'@wmougayar,William Mougayar,'@wmougayar,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,7,5,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00048,'@trent_vanepps,trent.eth,'@trent_vanepps,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,7,7,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00049,'@TheDRC_,Decentralization Research Center,'@TheDRC_,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,7,7,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00050,'@gen_ukraine,GEN Ukraine Ecovillage #Octant #GG23,'@gen_ukraine,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,7,7,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00051,'@cryptoeconlab,CryptoEconLab,'@cryptoeconlab,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,7,7,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00052,'@OSObserver,oso.xyz,'@OSObserver,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,7,6,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00053,'@HumnPassport,Human Passport,'@HumnPassport,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,7,7,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00054,'@AzosFinance,Azos Finance,'@AzosFinance,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,7,7,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00055,'@GaiaAIxyz,Gaia AI,'@GaiaAIxyz,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,7,5,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00056,'@RegenCoordinate,Regen Coordination,'@RegenCoordinate,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,7,1,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00057,'@kelsiemvn,Kelsie Nabben,'@kelsiemvn,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,7,4,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00058,'@Abundance_DAO,Mike | Abundance,'@Abundance_DAO,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,7,7,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00059,'@tmoindustries,tmo | nature coiner,'@tmoindustries,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,6,6,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00060,'@Paul_Glavin,paul 🪧,'@Paul_Glavin,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,6,6,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00061,'@rileybeans_,rileybeans 💖,'@rileybeans_,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,6,6,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00062,'@MontyMerlin,Monty Merlin Bryant 🧙✨,'@MontyMerlin,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,6,6,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00063,'@drakefjustin,Justin Drake,'@drakefjustin,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,6,2,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00064,'@AntiKrisis_xyz,AK69.fun,'@AntiKrisis_xyz,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,6,4,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00065,'@Obol_Collective,Obol,'@Obol_Collective,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,6,6,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00066,'@ECHInstitute,ECH Institute Inc.,'@ECHInstitute,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,6,6,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00067,'@DAOscope,DAOscope,'@DAOscope,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,6,6,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00068,'@ChonesWeaving,Chones Ecosystem Weaving,'@ChonesWeaving,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,6,6,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00069,'@Celo,Celo,'@Celo,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,6,4,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00070,'@gregory_landua,"Gregory Landua (🌳,🌳,🌳)",'@gregory_landua,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,6,6,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00071,'@OurBloomNetwork,Bloom Network,'@OurBloomNetwork,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,6,6,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00072,'@Atlantis_p2p,Atlantis 🔱,'@Atlantis_p2p,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,6,4,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00073,'@GainForestNow,GainForest.Earth,'@GainForestNow,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,6,3,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00074,'@localscale,LocalScale,'@localscale,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,5,5,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00075,'@synthesis_md,synthesis,'@synthesis_md,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,5,3,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00076,'@thedaofund,thedao.fund,'@thedaofund,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,5,4,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00077,'@bbeats1,Eugene Leventhal,'@bbeats1,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,5,4,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00078,'@gardens_fund,gardens 🌱,'@gardens_fund,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,5,2,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00079,'@metagov_project,Metagov,'@metagov_project,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,5,2,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00080,'@EFetheverywhere,Ethereum Everywhere,'@EFetheverywhere,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,5,5,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00081,'@flowstatecoop,Flow State 🦫,'@flowstatecoop,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,5,5,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00082,'@CommonsHubAT,Commons Hub,'@CommonsHubAT,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,5,5,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00083,'@Dionysus_Klima,Dionysus,'@Dionysus_Klima,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,5,5,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00084,'@RifaiSicilia,RifaiSicilia.ETH 🌍,'@RifaiSicilia,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,5,2,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00085,'@nixorokish,nixo.eth 🦇🔊🥐,'@nixorokish,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,5,5,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00086,'@paths2regen,Pathways to Regeneration,'@paths2regen,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,5,5,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00087,'@ShutterNetwork,Shutter 🛡️⚔️,'@ShutterNetwork,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,4,3,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00088,'@base,Base,'@base,Twitter/X archive,mentioned/retweeted account,,TRUE,,4,0,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00089,'@ladislaus0x,ladislaus.eth,'@ladislaus0x,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,4,4,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00090,'@zaldarren,Darren,'@zaldarren,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,4,3,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00091,'@NetxState,,'@NetxState,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,4,4,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00092,'@theopenmachine,Open Machine,'@theopenmachine,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,4,3,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00093,'@christine_dkim,Christine D. Kim,'@christine_dkim,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,4,4,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00094,'@aave,Aave,'@aave,Twitter/X archive,mentioned/retweeted account,,TRUE,,4,0,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00095,'@SilviProtocol,Silvi🤳🌳,'@SilviProtocol,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,4,3,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00096,'@Snapcrackle,James | Snapcrackle,'@Snapcrackle,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,4,4,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00097,'@KlimaDAO,Klima Protocol,'@KlimaDAO,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,4,1,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00098,'@RodovidMe,Maksym Zalevskyi GEN Ukraine #Octant,'@RodovidMe,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,4,4,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00099,'@Solar_FND,The Solar Foundation,'@Solar_FND,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,4,3,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00100,'@humntech,human.tech,'@humntech,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,4,4,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
