global_id,name,primary_type,tab_location,toolkit_route,source_origin,review_status,notes
IDX00001,'@Crypto_Altruism,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=53; retweet_count=51
IDX00037,'@networknations_,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=9; retweet_count=9
IDX00038,'@UnlockProtocol,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=9; retweet_count=8
IDX00039,'@karmahq_,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=9; retweet_count=7
IDX00040,'@greenpillnet,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=9; retweet_count=4
IDX00041,'@TheDevanshMehta,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=9; retweet_count=9
IDX00042,'@arkreen_network,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=8; retweet_count=4
IDX00043,'@ipecity,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=8; retweet_count=7
IDX00044,'@TerezaBizkova,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=8; retweet_count=6
IDX00045,'@ntnsndr,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=8; retweet_count=4
IDX00046,'@TrinityMorphy,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=8; retweet_count=3
IDX00047,'@wmougayar,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=7; retweet_count=5
IDX00048,'@trent_vanepps,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=7; retweet_count=7
IDX00049,'@TheDRC_,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=7; retweet_count=7
IDX00050,'@gen_ukraine,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=7; retweet_count=7
IDX00051,'@cryptoeconlab,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=7; retweet_count=7
IDX00052,'@OSObserver,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=7; retweet_count=6
IDX00053,'@HumnPassport,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=7; retweet_count=7
IDX00054,'@AzosFinance,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=7; retweet_count=7
IDX00055,'@GaiaAIxyz,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=7; retweet_count=5
IDX00056,'@RegenCoordinate,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=7; retweet_count=1
IDX00057,'@kelsiemvn,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=7; retweet_count=4
IDX00058,'@Abundance_DAO,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=7; retweet_count=7
IDX00059,'@tmoindustries,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=6; retweet_count=6
IDX00060,'@Paul_Glavin,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=6; retweet_count=6
IDX00061,'@rileybeans_,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=6; retweet_count=6
IDX00062,'@MontyMerlin,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=6; retweet_count=6
IDX00063,'@drakefjustin,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=6; retweet_count=2
IDX00064,'@AntiKrisis_xyz,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=6; retweet_count=4
IDX00065,'@Obol_Collective,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=6; retweet_count=6
IDX00066,'@ECHInstitute,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=6; retweet_count=6
IDX00067,'@DAOscope,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=6; retweet_count=6
IDX00068,'@ChonesWeaving,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=6; retweet_count=6
IDX00069,'@Celo,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=6; retweet_count=4
IDX00070,'@gregory_landua,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=6; retweet_count=6
IDX00071,'@OurBloomNetwork,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=6; retweet_count=6
IDX00072,'@Atlantis_p2p,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=6; retweet_count=4
IDX00073,'@GainForestNow,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=6; retweet_count=3
IDX00074,'@localscale,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=5; retweet_count=5
IDX00075,'@synthesis_md,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=5; retweet_count=3
IDX00076,'@thedaofund,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=5; retweet_count=4
IDX00077,'@bbeats1,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=5; retweet_count=4
IDX00078,'@gardens_fund,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=5; retweet_count=2
IDX00079,'@metagov_project,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=5; retweet_count=2
IDX00080,'@EFetheverywhere,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=5; retweet_count=5
IDX00081,'@flowstatecoop,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=5; retweet_count=5
IDX00082,'@CommonsHubAT,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=5; retweet_count=5
IDX00083,'@Dionysus_Klima,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=5; retweet_count=5
IDX00084,'@RifaiSicilia,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=5; retweet_count=2
IDX00085,'@nixorokish,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=5; retweet_count=5
IDX00086,'@paths2regen,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=5; retweet_count=5
IDX00087,'@ShutterNetwork,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=3
IDX00088,'@base,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=0
IDX00089,'@ladislaus0x,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=4
IDX00090,'@zaldarren,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=3
IDX00091,'@NetxState,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=4
IDX00092,'@theopenmachine,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=3
IDX00093,'@christine_dkim,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=4
IDX00094,'@aave,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=0
IDX00095,'@SilviProtocol,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=3
IDX00096,'@Snapcrackle,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=4
IDX00097,'@KlimaDAO,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=1
IDX00098,'@RodovidMe,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=4
IDX00099,'@Solar_FND,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=3
IDX00100,'@humntech,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=4
IDX00101,'@ColeenChase,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=4
IDX00102,'@agroforestDAO,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=3
IDX00103,'@suno_finance,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=3
IDX00104,'@RJPinnell,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=4
IDX00105,'@KMLLCW3,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=3
IDX00106,'@tokengineering,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=2
IDX00107,'@hypercerts,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=2
IDX00108,'@TBSocialist,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=3
IDX00109,'@Optimism,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=0
IDX00110,'@RaymondCheng00,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=4
IDX00111,'@ecofrontiers,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=1
IDX00112,'@binji_x,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=4
IDX00113,'@ArtizenFund,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=4
IDX00114,'@tdfinyourdreams,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=4
IDX00115,'@RnDAO__,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=2
IDX00116,'@DCF_io,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=4; retweet_count=2
IDX00117,'@kennyistyping,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=3
IDX00118,'@tcoratger,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=3
IDX00119,'@seer_pm,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=2
IDX00120,'@ethdaily,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=3
IDX00121,'@GreenSofa_TW,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=2
IDX00122,'@HeenalR,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=2
IDX00123,'@ethdotorg,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=2
IDX00124,'@spengrah,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=3
IDX00125,'@akrtws,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=3
IDX00126,'@carbonmarkcom,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=2
IDX00127,'@RefiColombia,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=2
IDX00128,'@localismfund,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=1
IDX00129,'@Etherealize_io,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=3
IDX00130,'@Molecule_sci,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=3
IDX00131,'@RelayFunder,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=2
IDX00132,'@reslashacc,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=3
IDX00133,'@solidity_lang,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=0
IDX00134,'@swiftevo1,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=3
IDX00135,'@DeCleanupNet,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=3
IDX00136,'@deeparocks,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=3
IDX00137,'@growthepie_eth,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=3
IDX00138,'@EthPrague,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=1
IDX00139,'@dOrg_tech,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=3
IDX00140,'@PrivacyEthereum,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=3
IDX00141,'@w3b3forgood,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=0
IDX00142,'@natesuits,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=3
IDX00143,'@OpenLitterMap,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=3
IDX00144,'@RegenRene,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=3
IDX00145,'@theregenatlas,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=2
IDX00146,'@grassEcon,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=2
IDX00147,'@ProtocolGuild,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=2
IDX00148,'@MattyCompost,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=0
IDX00149,'@kentbabin,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=0
IDX00150,'@theobtl,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=1
IDX00151,'@sovereignsignal,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=3
IDX00152,'@Regentokenomics,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=3
IDX00153,'@audreyt,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=3
IDX00154,'@Kernel0x,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=1
IDX00155,'@revnets,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=1
IDX00156,'@etheconomiczone,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=3
IDX00157,'@Superfluid_HQ,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=1
IDX00158,'@_newcubes_,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=2
IDX00159,'@CeloPublicGoods,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=1
IDX00160,'@allo_capital,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=0
IDX00161,'@dwddao,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=2
IDX00162,'@GreenpillWrites,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=3; retweet_count=1
IDX00163,'@ethresearchbot,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=2
IDX00164,'@techandsunhub,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=2
IDX00165,'@dankrad,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=2
IDX00166,'@l2beat,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=1
IDX00167,'@higrowfi,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=2
IDX00168,'@blockful_io,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=2
IDX00169,'@griffgreen,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=1
IDX00170,'@ensdomains,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=1
IDX00171,'@CharlieStLouis,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=2
IDX00172,'@RegenFdn,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=2
IDX00173,'@KokonutNetwork,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=1
IDX00174,'@feemschats,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=2
IDX00175,'@PublicNouns,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=1
IDX00176,'@Greenpill9ja,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=1
IDX00177,'@crypto4commons,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=2
IDX00178,'@ethPandaOps,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=1
IDX00179,'@jerri_nft,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=2
IDX00180,'@bonfiresai,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=1
IDX00181,'@DeSciWorld,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=1
IDX00182,'@DeSciAsia,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=0
IDX00183,'@endaomentdotorg,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=2
IDX00184,'@hellofrommarv,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=2
IDX00185,'@samccarthy27,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=0
IDX00186,'@regensolarpunk,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=2
IDX00187,'@Uniswap,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=0
IDX00188,'@americamag,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=0
IDX00189,'@SEAL_911,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=0
IDX00190,'@EFprotocol,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=0
IDX00191,'@myosin_xyz,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=2
IDX00192,'@web3_data,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=2
IDX00193,'@optimystics_,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=2
IDX00194,'@EthCC,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=0
IDX00195,'@nunet_global,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=2
IDX00196,'@davinci_vote,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=2
IDX00197,'@amioantho,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=2; retweet_count=0
