priority,article,objects,types_present,has_claim_evidence,has_public_use_boundary,thinned,reviewer,decision(PROMOTE|FIX|HOLD),privacy_gate(PASS|FAIL),date,notes
1,conflict-resolution.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,true,,,,,
1,credentials-certifications.md,5,"concept-lineage; encyclopedia-entry; public-use-boundary; resource",false,true,false,,,,,
1,dmrv.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary; resource",true,true,false,,,,,
1,editorial-workflow.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,true,,,,,
1,human-review-boundaries.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; knowledge-garden; signal",true,false,true,,,,,
1,is-community-ready.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,true,,,,,
1,multisig-setup.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary; resource",true,true,true,,,,,
1,security-best-practices-orgs.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary; resource",true,true,false,,,,,
1,what-you-can-do-ethereum.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary; resource",true,true,false,,,,,
1,why-accept-crypto.md,5,"claim-evidence; encyclopedia-entry; public-use-boundary; resource",true,true,false,,,,,
1,why-local-matters.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; forum; resource",true,false,true,,,,,
1,building-momentum.md,4,"concept-lineage; encyclopedia-entry; public-use-boundary; signal",false,true,true,,,,,
1,communicating-stakeholders.md,4,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary",true,true,false,,,,,
1,delegation-representation.md,4,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary",true,true,false,,,,,
1,onchain-attestations.md,4,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary",true,true,false,,,,,
1,why-regens-interested.md,4,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,true,,,,,
1,key-terms-a-z.md,3,"concept-lineage; encyclopedia-entry",false,false,true,,,,,
2,ethereum-ecosystem.md,10,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,funding-your-node.md,10,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,funding-gatherings.md,9,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,stewardship-roles.md,9,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,types-of-gatherings.md,9,"claim-evidence; concept-lineage; directory; encyclopedia-entry; resource; signal; track",true,false,false,,,,,
2,what-is-dao.md,9,"claim-evidence; concept-lineage; encyclopedia-entry; resource; signal",true,false,false,,,,,
2,ai-community-tools.md,8,"claim-evidence; concept-lineage; docs-site; encyclopedia-entry; resource; signal",true,false,false,,,,,
2,archive-compost.md,8,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,common-scams.md,8,"claim-evidence; concept-lineage; encyclopedia-entry; publication; signal",true,false,false,,,,,
2,dao-tooling.md,8,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,federation-portability.md,8,"claim-evidence; concept-lineage; encyclopedia-entry; repo; resource",true,false,false,,,,,
2,source-systems.md,8,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,what-is-wallet.md,8,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,ai-assisted-classification.md,7,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,planning-web3-events.md,7,"claim-evidence; concept-lineage; convening; encyclopedia-entry; resource; signal",true,false,false,,,,,
2,review-and-maturity.md,7,"claim-evidence; concept-lineage; encyclopedia-entry; resource; signal",true,false,false,,,,,
2,smart-contracts-explained.md,7,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,stablecoins.md,7,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,token-standards.md,7,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,voting-mechanisms.md,7,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,what-are-tokens.md,7,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,what-is-cryptocurrency.md,7,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,what-is-knowledge-commons.md,7,"claim-evidence; concept-lineage; encyclopedia-entry; knowledge-garden; resource; signal",true,false,false,,,,,
2,case-studies-nonprofits.md,6,"claim-evidence; concept-lineage; encyclopedia-entry; publication; resource",true,false,false,,,,,
2,common-concerns.md,6,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,examples-impact-daos.md,6,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,how-to-get-crypto.md,6,"claim-evidence; concept-lineage; encyclopedia-entry; resource; signal",true,false,false,,,,,
2,layer-2s.md,6,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,local-node-model.md,6,"claim-evidence; concept-lineage; encyclopedia-entry; resource; signal",true,false,false,,,,,
2,local-nodes-and-daos.md,6,"claim-evidence; concept-lineage; encyclopedia-entry; resource; signal",true,false,false,,,,,
2,metadata-that-matters.md,6,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,onboarding-members.md,6,"claim-evidence; concept-lineage; convening; encyclopedia-entry; resource",true,false,false,,,,,
2,ontology-vs-taxonomy.md,6,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,refi-vs-defi-tradfi.md,6,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,seed-phrases.md,6,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,setting-up-receive-crypto.md,6,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,tokens-coordination-tools.md,6,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,tokens-real-world-assets.md,6,"claim-evidence; concept-lineage; encyclopedia-entry; resource; signal",true,false,false,,,,,
2,bitcoin-history.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; signal",true,false,false,,,,,
2,centralized-vs-decentralized.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,cooperative-commons.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,custodial-vs-noncustodial.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,dao-governance-models.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,decentralization-spectrum.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; resource; signal",true,false,false,,,,,
2,documentation-knowledge.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,find-your-community.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,gas-fees.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,hot-vs-cold.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,how-transactions-work.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,leadership-development.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,nfts-beyond-art.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,trust-transparency.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,what-is-decentralization.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,what-is-ethereum.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,building-in-public.md,4,"claim-evidence; concept-lineage; encyclopedia-entry; signal",true,false,false,,,,,
2,building-internal-capacity.md,4,"claim-evidence; concept-lineage; encyclopedia-entry; signal",true,false,false,,,,,
2,creating-buying-earning.md,4,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,daos-vs-traditional.md,4,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,decentralization-resilience.md,4,"claim-evidence; concept-lineage; encyclopedia-entry",true,false,false,,,,,
2,finding-support-mentorship.md,4,"claim-evidence; encyclopedia-entry; resource",true,false,false,,,,,
2,identity-verification.md,4,"claim-evidence; concept-lineage; encyclopedia-entry",true,false,false,,,,,
2,impact-certificates-hypercerts.md,4,"claim-evidence; concept-lineage; encyclopedia-entry; signal",true,false,false,,,,,
2,is-dao-right.md,4,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,social-tokens-creator.md,4,"claim-evidence; concept-lineage; encyclopedia-entry; signal",true,false,false,,,,,
2,which-chain-right.md,4,"claim-evidence; concept-lineage; encyclopedia-entry; resource",true,false,false,,,,,
2,donor-stewardship.md,3,"claim-evidence; concept-lineage; encyclopedia-entry",true,false,false,,,,,
2,proposal-writing.md,3,"claim-evidence; concept-lineage; encyclopedia-entry",true,false,false,,,,,
3,knowledge-tools-directory.md,12,"concept-lineage; encyclopedia-entry; resource",false,false,false,,,,,
3,other-chains.md,7,"concept-lineage; encyclopedia-entry; resource",false,false,false,,,,,
3,wallet-comparison-guide.md,7,"concept-lineage; encyclopedia-entry; resource; signal",false,false,false,,,,,
3,knowledge-gardens.md,6,"concept-lineage; encyclopedia-entry; knowledge-garden; resource",false,false,false,,,,,
3,crypto-donation-platforms.md,5,"concept-lineage; directory; encyclopedia-entry; resource",false,false,false,,,,,
3,coordination-transparency.md,4,"concept-lineage; encyclopedia-entry; signal",false,false,false,,,,,
3,is-web3-right.md,3,"concept-lineage; encyclopedia-entry; signal",false,false,false,,,,,
3,finding-your-people.md,2,"concept-lineage; encyclopedia-entry",false,false,false,,,,,
3,relates-to-existing-work.md,2,"concept-lineage; encyclopedia-entry",false,false,false,,,,,
